empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,dominio
21404ebaa0106ca20ae283c89271,190,34,44,32,38,95,242,252,219,379,627,757,698,638,556,603,606,805,1018,936,784,507,464,574,11098,0
510766392a95afd41c6bd526381a,29,26,8,8,9,7,141,237,259,272,278,257,285,313,286,292,268,285,320,288,301,281,187,124,4761,0
8ef4d40b852168ea8e3bbc4c89a0,177,166,108,75,106,127,186,262,261,284,292,262,254,293,274,285,325,316,318,343,315,260,266,181,5736,0
617b9dcd2479b7e85da7a90b56c4,23,16,20,15,18,47,63,92,125,135,166,128,170,184,148,135,122,175,153,152,146,115,70,69,2487,0
5dc07a1ef6f3839d858729107f26,0,0,0,0,0,1,41,132,110,110,97,96,109,96,106,105,93,136,129,122,69,57,9,0,1618,0
300e3558d7460c7091bc096e848f,12,1,2,2,2,33,110,221,305,308,269,278,303,323,330,320,352,384,352,336,287,207,171,81,4989,0
7b5053d48239177a54d8d754b925,0,0,0,0,0,0,11,44,39,36,41,41,44,50,68,41,70,76,72,76,50,57,36,5,857,0
30ddd2df870c62b552b4e43e562d,0,0,0,0,0,7,158,249,282,299,286,271,348,341,307,336,377,457,473,421,364,331,184,3,5494,0
a65b50e58a5f557e7804071ff41a,4,9,8,10,19,20,57,122,135,117,130,101,131,128,110,123,131,128,152,152,125,99,141,48,2200,0
1f2fafdb772c1e9da2fd6a2c6222,3,0,0,0,0,4,32,54,64,50,53,52,60,44,52,53,61,57,81,68,69,42,18,4,921,0
39a041b1e9caa6683e9072933721,16,3,6,14,15,21,29,41,49,49,51,53,52,49,63,60,54,59,43,57,37,27,32,23,903,0
40c0471426fa077f81c1450f3d01,29,23,7,21,29,40,84,65,88,109,99,81,76,97,110,103,116,101,110,100,68,74,57,43,1730,0
cdd637d7b5da41ce8eccf084f124,8,6,2,6,5,15,14,37,35,37,36,37,52,40,42,27,31,42,34,39,37,36,19,13,650,0
177ba00e8213cc8ae5d5c37dc312,13,23,14,21,10,7,2,12,13,17,24,26,22,37,33,29,24,31,39,28,45,21,18,21,530,0
ebd7dca9e3ec23296789dfdaff84,27,25,19,17,18,30,28,42,41,61,61,49,43,41,59,44,70,61,59,46,44,49,34,42,1010,0
cd406b5d1bca06e7ea9cdc74e14b,8,7,9,13,15,40,155,280,395,539,619,702,742,826,433,501,547,575,672,771,529,311,104,15,8808,0
d454afe9d07ca83d7e9cc8cae51b,58,0,0,0,0,6,151,274,246,239,247,265,281,283,293,271,281,349,372,362,271,252,224,126,4851,0
828495b0888d610f4bb5a2b69398,48,56,34,27,31,36,36,36,46,50,54,60,42,52,55,64,65,44,51,34,60,65,44,54,1144,0
7e7e8f9764d7cb838fad6d0c1878,22,18,11,14,15,25,33,59,61,78,59,54,66,53,68,66,77,77,61,79,58,52,45,28,1179,0
70a63c8459b6ef215c141678cf2f,47,17,20,19,13,21,27,34,39,51,28,41,40,38,56,56,55,54,42,53,62,34,64,25,936,0
7328c8b9bc78959ddf23bcdaf7e0,1,0,0,0,0,0,16,44,42,65,53,53,69,65,86,70,70,70,91,74,98,64,38,8,1077,0
21e6eaa2f5c9077b2400db93f2a2,47,43,30,17,14,7,16,26,36,38,40,37,32,39,40,52,45,35,57,59,36,42,52,51,891,0
6dcc6eb264c3c13d1e859010c504,16,12,5,13,7,20,124,181,218,253,245,253,334,346,183,227,243,271,262,274,282,256,115,103,4243,0
67c0995f5f9f168a25e73a0e2cf1,17,8,12,6,14,40,56,65,57,63,63,53,52,62,69,54,63,70,75,66,56,52,32,17,1122,0
4ff33aad0d51fe60c11ba0008166,0,0,0,0,0,0,31,155,230,223,240,235,255,278,264,245,268,326,375,321,228,106,34,0,3814,0
e7f2ac672e272c80bd614303a7f1,5,8,4,3,13,25,30,35,27,28,33,30,23,40,35,34,42,38,21,30,26,21,17,19,587,0
9e315ef7cfa719f58faa87b9b37a,18,18,7,7,2,2,16,33,30,38,38,32,43,43,46,38,40,53,68,55,43,31,21,18,740,0
2af4769ea292cc80b5a3ffb456ab,9,1,0,0,0,0,77,140,154,167,175,172,127,176,169,172,179,215,238,179,147,89,45,20,2651,0
2694326dfeb75c5d99065ba17980,7,7,4,7,2,5,1,1,2,4,4,5,4,2,3,6,3,6,3,5,5,8,7,11,112,0
7f79b8ea252273bd780cd463367f,36,21,10,9,17,14,66,177,145,147,130,151,163,164,157,196,169,210,207,162,137,102,70,50,2710,0
1e1ac070864ab84b577827593eea,250,154,206,205,189,70,101,127,190,171,122,200,295,560,392,207,244,248,192,244,155,121,92,273,5008,0
9cb52749502cb0f9637c44a50fef,661,398,428,324,215,191,202,256,226,258,317,417,587,641,509,440,481,547,535,593,603,936,503,473,10741,0
de4d67afc54d2b89db0887096e7f,27,12,16,13,8,29,137,201,203,273,273,274,241,248,255,234,243,287,324,290,205,168,68,24,4053,0
2b4287339e5ed8d8b581429587f0,67,54,42,45,69,56,66,99,100,88,86,66,92,79,86,84,99,107,115,107,119,116,128,107,2077,0
acb22589d9f4ed8e9647eaa6f198,49,32,23,22,16,15,91,197,217,232,255,287,269,338,323,316,307,341,390,430,365,294,246,98,5153,0
d70a72266986e5c2478a462887ca,394,263,180,111,98,118,232,292,269,241,213,341,306,441,278,341,422,327,339,384,568,516,387,410,7471,0
28c989256893a32a5ccf567bda2c,27,21,16,21,23,19,47,72,79,71,67,72,74,96,90,92,99,121,96,82,78,71,57,67,1558,0
8270a9b440c84e041f473b373c3d,46,33,30,23,27,39,63,99,108,83,76,73,90,83,86,83,93,109,103,117,126,112,95,67,1864,0
1053a8f2f1b2a3389d6f15c1d195,3,1,0,0,0,1,1,1,1,1,1,0,0,0,1,3,2,0,2,1,6,2,3,1,31,0
ed68f8e238e465133ce2f9baeb4d,0,0,0,0,0,0,27,127,194,229,204,223,192,206,211,257,277,261,332,281,183,102,29,3,3338,0
5ff62d2724aac4e69944e47b5a33,73,45,34,29,26,18,20,16,16,30,30,32,28,37,48,31,41,43,66,63,52,42,54,49,923,0
c33b7c71c42e7b443cf6d6fb7976,2,0,3,0,1,4,17,43,31,44,42,49,32,38,50,50,53,56,64,46,54,38,32,8,757,0
b452cbe59344e060deb981ed05cc,13,1,0,0,4,12,46,86,148,150,188,203,169,131,133,121,125,144,169,186,81,47,14,13,2184,0
19cf39a2b90afb267e14130c98ab,0,0,0,0,0,0,47,82,69,79,93,77,79,84,88,79,84,133,129,107,94,10,0,0,1334,0
6bf097674b717cee6777af8ac1d5,9,2,0,0,2,3,29,50,75,63,50,48,41,48,50,45,65,63,71,79,47,59,37,6,942,0
5b325cfa994fd241f7b38f32cbbd,0,0,0,0,0,11,108,240,277,278,311,259,272,273,311,286,275,310,340,315,312,221,136,44,4579,0
43feae4477f8cc24d12b126bdfeb,81,65,46,49,69,38,69,105,95,117,104,94,115,94,100,109,127,132,151,134,143,136,154,128,2455,0
9df274ffa1772065e8feae85faa8,0,0,0,0,0,0,28,39,55,73,59,59,64,66,79,67,74,74,94,85,77,54,46,28,1121,0
10ac85715199e357fb5840e9298a,0,0,0,0,0,0,2,12,18,26,29,18,17,17,16,20,24,20,30,19,24,5,13,6,316,0
03390ba1a5be15099869de8cf39c,78,66,51,43,35,48,169,269,310,274,279,278,291,291,327,356,312,333,388,322,311,271,238,157,5497,0
9357ebc705098db3d1839824adca,35,12,16,8,5,16,62,155,164,163,143,179,190,178,141,145,154,199,206,192,151,139,78,43,2774,0
744f9707a59fbbffe75dad22aee7,89,71,65,54,39,36,67,63,70,75,81,86,180,180,155,123,145,104,100,78,92,151,120,96,2320,0
