encrypted_cnpj;encrypted_cnpj_prefix;encrypted_5_zipcode;encrypted_domain;cnae_code;cnae_desc;cheque;crediario;credito;debito;deposito;dinheiro;transferencia;prod_variety;day_mean;best_hour;best_hour_mean;interval_0h_4h;interval_4h_8h;interval_8h_12h;interval_12h_16h;interval_16h_20h;interval_20h_24h
002d36b2edaa62d8f4ec0cae92bf;3,63637E+63;3,46331E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;;0;;;0;;0;36;3,855421687; 0:00 -  1:00;3,855421687;3,855421687;;;;;
0049a955027a5ec4558cd0797637;3,03436E+63;6,23039E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,263209393;0,736790607;0;0;0;224;8,494505495; 0:00 -  1:00;8,494505495;8,494505495;;;;;
005180a2c46d488615304414075f;3,26234E+63;3,83966E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,266612642;0,733387358;0;0;0;228;7,659340659; 0:00 -  1:00;7,659340659;7,659340659;;;;;
00852b4319fd3b837a853e3942a1;3,0303E+63;3,03365E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,443585781;0,556414219;0;0;0;7;11,14130435;22:00 - 23:00;2,5;;2,363636364;3,458823529;3,084337349;3,275;1,9
0105cf9d4c59d77432783092d7a6;6,46334E+63;3,66565E+63;3,13035E+63;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;0;;0;0;0;0;0;2994;99,08641975;11:00 - 12:00;15,26582278;1;;31,7625;36,97530864;31,74358974;1,625
01374339fe3afab3011d3656452f;6,23966E+63;6,13638E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,015767344;0,021373511;0;0,962859145;0;149;7,141304348;23:00 - 24:00;1,411764706;1;1,375;2,027777778;2,12345679;2,08;1,865671642
016bdbbcb6f68cd9383c0367308e;6,36639E+63;3,43937E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,276415515;0,723584485;0;0;0;187;7,179775281; 0:00 -  1:00;7,179775281;7,179775281;;;;;
016c20708f16ff1131fde5eb5453;6,23865E+63;3,53033E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0,491256477;0,508743523;0;0;0;208;13,28571429; 0:00 -  1:00;13,28571429;13,28571429;;;;;
01837b14873672af7c481b8337ec;6,43534E+63;3,53934E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0,6;0;0;0;0;0,4;0;91;10,48387097; 0:00 -  1:00;10,48387097;10,48387097;;;;;
01a8b1e3503b9f151d80e8e836d3;3,73965E+63;3,53033E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;1;0;0;0;0;0;810;12,08888889;15:00 - 16:00;2,321428571;1;;2,066666667;5;4,903614458;2,723076923
01c7a0910fe2431c52bc71259920;3,23565E+63;3,26634E+63;3,13234E+63;5611201;Restaurantes e similares;;0;;;0;;0;0;;;;;;;;;
01d9a69b1b406e64c4475caae0bd;3,96365E+63;3,96667E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,628959276;0,371040724;0;0;0;3;8,108695652;17:00 - 18:00;1,473684211;1,214285714;1,68852459;2,202531646;2,054794521;2,4875;1,560606061
01ec318321048a9a2a372dd39860;3,86461E+63;6,26332E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,454746137;0,545253863;0;0;0;156;13,68478261;17:00 - 18:00;1,666666667;1,148148148;2,148648649;3,80952381;3,470588235;3,397727273;2,152777778
026bfe187f4c03cbacc9a5424604;3,23964E+63;6,66234E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,216380182;0,783619818;0;0;0;203;6,21978022; 0:00 -  1:00;6,21978022;6,21978022;;;;;
028f815b3648716b75648c766877;3,83232E+63;3,83539E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0,023591088;0;0,326343381;0,566186107;0;0,083879423;0;108;6,034883721; 0:00 -  1:00;6,034883721;6,034883721;;;;;
02920307157baff19229f2161f02;3,03332E+63;3,56233E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,480603448;0,519396552;0;0;0;225;7,376470588; 0:00 -  1:00;7,376470588;7,376470588;;;;;
02ef567b43724d42c7019bef3de8;3,73865E+63;3,73632E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;391;6,887640449;16:00 - 17:00;1,6875;1;;1,551020408;2,6875;3,317073171;1,289473684
03390ba1a5be15099869de8cf39c;6,23966E+63;6,13231E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0,000618272;0;0,02000291;0,029713413;0;0,949665406;0;498;59,75;18:00 - 19:00;4,459770115;2,902439024;5,788888889;12,53846154;13,9010989;14,89010989;10,73626374
034aca2ce8f42b631ac5043c0c23;3,56365E+63;6,46565E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;640;9,561797753;13:00 - 14:00;2,056603774;1;;1,833333333;4,139534884;3,646341463;2,12
036e79533ebc8fbf8e6d3af84dfb;3,83767E+63;3,0343E+63;6,13965E+63;6209100;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0;0,048674833;0,332386231;0;0,618938935;0;201;36,47252747;18:00 - 19:00;3,703703704;;3,148148148;9,155555556;9,923076923;11,48351648;3,476190476
03a8e66a285f4f181502f3e0e2e2;3,46137E+63;6,23238E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,180467091;0,573248408;0;0,246284501;0;151;8,577777778; 0:00 -  1:00;8,577777778;8,577777778;;;;;
03cc8182991f08a15accfd30898b;6,33034E+63;3,53165E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0;0;0,25;0,75;0;0;0;2;1;20:00 - 21:00;1;;;;1;;1
04051b3af7c83ba5239805a12df0;3,53839E+63;3,66137E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,364369647;0,635630353;0;0;0;252;9,988888889; 0:00 -  1:00;9,988888889;9,988888889;;;;;
041f0bb9ad11f59c7e2d6e29875b;3,16338E+63;3,93634E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,245283019;0;0;0,754716981;0;118;6,764044944; 0:00 -  1:00;6,764044944;6,764044944;;;;;
044a40a96583db2ef3e91babd041;6,16534E+63;6,13631E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,338457389;0,661542611;0;0;0;256;9,417582418; 0:00 -  1:00;9,417582418;9,417582418;;;;;
0466a2bcafd099e2f6aef8d8d9fe;3,56435E+63;6,4334E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0,288801572;0,711198428;0;0;0;204;9,684210526; 0:00 -  1:00;9,684210526;9,684210526;;;;;
049dc6cc261ed52305fa637d4f5a;6,63635E+63;6,36635E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;587;11,29213483;23:00 - 24:00;2;;;2,153846154;4,302325581;4,360465116;2,349206349
04b09bb83effc3fb2c95c17fba04;6,53863E+63;6,63262E+63;3,13035E+63;4789001;Comércio varejista de suvenires, bijuterias e artesanatos;0;;0;0;0;0;0;288;4,819277108;22:00 - 23:00;1,652173913;;;1,25;1,816326531;2,342857143;2,645833333
